repo,commit,commits,url
mongo,dc2f2dee5bd682076a76416fb02157317a9e797b,46479,https://github.com/mongodb/mongo
zulip,68387b9f00256c01165654ce0328c831236c2514,31662,https://github.com/zulip/zulip
scikit-learn,612a04e4e44d5fb02661c1e03069218197877f2b,23962,https://github.com/scikit-learn/scikit-learn
ant,c8e0adbd2af78f43dbc8158970c38eeb41bb5c6c,14482,https://github.com/apache/ant
insolar,1504b0fea80f93f9bbc30129d5a6c5407400270d,13411,https://github.com/insolar/insolar
holochain-rust,be997aa6e56a733d7f65f86725f8a7aadb078859,10016,https://github.com/holochain/holochain-rust
rchain,e0048b7a16c9e7eaac8d716ee7918d1d0cd2755f,8637,https://github.com/rchain/rchain
istio,f504e90e1afe311c3035de58ceb0d393dc1549be,7664,https://github.com/istio/istio
android,358733f79b9a28cd054e570ac619d2342e6143da,7309,https://github.com/owncloud/android
Lean,651e119a3df8ef51413ffecdf995b3e19e88776f,7244,https://github.com/QuantConnect/Lean
raiden,edaaceff1f1936e984a6c227f5ac38faa39bdc2a,7204,https://github.com/raiden-network/raiden
Zilliqa,6197ee87785fc41ef9a693389a88d97eb5809fea,7167,https://github.com/Zilliqa/Zilliqa
pip,20e42271f2c534dacbe4ef563227f70c91770e4d,7041,https://github.com/pypa/pip
abinit,33fe11a4dbe263234173cec00c425fb3cbcd8ef2,6793,https://github.com/abinit/abinit
jquery,8fae21200e80647fec4389995c4879948d11ad66,6402,https://github.com/jquery/jquery
crispy-doom,7caf8de3062ab1d9b3f68f3754abf68d4077200d,6247,https://github.com/browser-doom/crispy-browser-doom
druid,8c895c867eb35cb13a099050b2116b877c31896a,5955,https://github.com/alibaba/druid
zsc,3080983781cd2cc6afd138c653499090d16cfd0f,5454,https://github.com/zeus-shield/zsc
mdanalysis,0d7367d05f1250c2afc8be7e3768011dede1498c,5162,https://github.com/MDAnalysis/mdanalysis
office_js_docs_pr,9eb40041dd2c495a84261187f38fb1ee6ee17db0,4643,https://github.com/OfficeDev/office-js-docs-pr